dead,gis_code,name
,12140103,Gasiza
,12140104,Kidogo
,12140201,Agatare
,12140202,Gasagara
,12140203,Kamasasa
,12140204,Rugagi
,12140205,Ryabazana
,12140301,Abatangampundu
,12140302,Amahoro
,12140303,Isangano
,12140304,Kabeza
,12140305,Kalisimbi
,12140306,Masango
,12140401,Bwiza
,12140402,Cyanamo
,12140403,Gatare
,12140404,Kamashashi
,12140405,Mataba
,12140406,Nyagakombe
,12140407,Ruhangare
,12140501,Busenyi
,12140502,Kigabiro
,12140503,Kinyana
,12140504,Nyagisozi
,12140601,Cyeru
,12140602,Karambo
,12140603,Kataruha
,12140604,Mugeyo
,12140605,Rugarama
,12140606,Samuduha
,12140701,Gisharara
,12140702,Kabutare
,12140703,Kanyinya
,12140704,Kigarama
,12140705,Nyarucundura
,12140706,Runyonza
,12140707,Urumuri
,12140801,Kinyaga
,12140802,Mirama
,12150204,Karuranga
,12150205,Nyakabande
,12150301,Kabaliza
,12150302,Nyamise
,12150303,Rwanyanza
,12150401,Cyili
,12150402,Kacyatwa
,12150403,Kandamira
,12150404,Kantabana
,12150405,Munini
,12150501,Abanyangeyo
,12150502,Kibenga
,12150503,Nyamvumvu
,12150601,Kamusare
,12150602,Karwiru
,12150603,Kigabiro
,12150604,Rukerereza
,12150605,Rwintare
,13010101,Gahanga
,13010102,Gatare
,13010103,Gatovu
,13010104,Rinini
,13010105,Rwinanka
,13010106,Ubumwe
,13010201,Kabeza
,13010202,Kabidandi
,13010203,Kiyanja
,13010204,Nyacyonga
,13010205,Nyagafunzo
,13010206,Nyakuguma
,13010207,Rugando Ii
,13010301,Amahoro
,13010302,Bigo
,13010303,Kabeza
,13010304,Kamuyinga
,13010305,Karembure
,13010306,Kimena
,13010307,Mubuga
,13010308,Rwamaya
,13010401,Kampuro
,13010402,Kigasa
,13010403,Mashyiga
,13010404,Nyabigugu
,13010405,Nyamuharaza
,13010406,Rukore
,13010407,Runyoni
,13010408,Sabununga
,13010501,Kigarama
,13010502,Kinyana
,13010503,Mugendo
,13010504,Nunga I
,13010505,Nunga Ii
,13010506,Rugasa
,13010601,Gahosha
,13010602,Gashubi
,13010603,Kaboshya
,13010604,Karambo
,13010605,Rebero
,13010606,Rugando I
,13020101,Amahoro
,13020102,Gakoki
,13020103,Gatenga
,13020104,Ihuriro
,13020105,Isangano
,13020106,Rugari
,13020201,Gwiza
,13020202,Ihuriro
,13020203,Jyambere
,13020204,Kamabuye
,13020205,Mahoro
,13020206,Ramiro
,13020207,Rebero
,13020208,Rugwiro
,13020209,Ruhuka
,13020210,Sangwa
,13020301,Bwiza
,13020302,Cyeza
,13020303,Gasabo
,13020304,Ihuriro
,13020305,Isonga
,13020306,Juru
,13020307,Marembo
,13020308,Murambi
,13020309,Nyanza
,13020310,Rebero
,13020311,Rusororo
,13020312,Sabaganga
,13020313,Taba
,13020401,Bigo
,13020402,Bisambu
,13020403,Kabeza
,13020404,Nyabikenke
,13030101,Gatare
,13030102,Kabuye I
,13030103,Kabuye Ii
,13030104,Kagunga I
,13030105,Kagunga Ii
,13030106,Rebero
,13030201,Kanserege I
,13030202,Kanserege Ii
,13030203,Kanserege Iii
,13030204,Marembo I
,13030205,Marembo Ii
,13030206,Marembo Iii
,13030301,Kigugu I
,13030302,Kigugu Ii
,13030303,Kigugu Iii
,13030304,Kinunga
,13030305,Ruganwa I
,13030306,Ruganwa Ii
,13030307,Ruganwa Iii
,13040101,Bwiza
,13040102,Byimana
,13040103,Ituze
,13040104,Kanserege
,13040105,Kinunga
,13040201,Kamuna
,13040202,Mugeyo
,13040203,Muyange
,13040204,Rugunga
,13040301,Inshuti
,13040302,Mpingayanyanza
,13040303,Nyacyonga
,13040304,Nyanza
,13040305,Rukatsa
,13040306,Taba
,13050110,Radari
,13050111,Rukore
,13050201,Akagera
,13050202,Bwiza
,13050203,Gasabo
,13050204,Giporoso I
,13050205,Giporoso Ii
,13050206,Juru
,13050207,Kabeza
,13050208,Karisimbi
,13050209,Muhabura
,13050210,Mulindi
,13050211,Nyarurembo
,13050212,Nyenyeri
,13050213,Rebero
,13050301,Bitare
,13050302,Byimana
,13050303,Cyurusagara
,13050304,Gakorokombe
,13050305,Gikundiro
,13050306,Gitarama
,13050307,Karama
,13050308,Nyabyunyu
,13050309,Nyarutovu
,13050310,Urukundo
,13050401,Beninka
,13050402,Bukunzi
,13060101,Amajyambere
,13060102,Gasharu
,13060103,Sakirwa
,13060104,Umunyinya
,13060201,Gashiha
,13060202,Iriba
,13060203,Multimedia
,13060204,Umunyinya
,13060205,Umuremure
,13060206,Urugero
,13060301,Gasave
,13060302,Isoko
,13060303,Karisimbi
,13060304,Kicukiro
,13060305,Triangle
,13060306,Ubumwe
,13060401,Ahitegeye
,13060402,Intaho
,13060403,Iriba
,13060404,Isangano
,13060405,Urugero
,13070101,Gakokobe
,13070102,Gatare
,13070103,Imena
,13070104,Ituze
,13070105,Kabutare
,13070106,Kimisange
,13070107,Nyenyeri
,13070108,Ubumenyi
,13070201,Ibuga
